#,Have,Name,Set,Number,Rarity,Type,Picture,Date,Notes,Market Price
,,Giovanni's Meowth,Gym Challenge,#074/132,Common,1st Edition,,,,
,,Giovanni's Meowth,Gym Challenge,#074/132,Common,Unlimited,,,,
,,Giovanni's Meowth,Gym Challenge,#043/132,Common,1st Edition,,,,
,,Giovanni's Meowth,Gym Challenge,#043/132,Common,Unlimited,,,,
1,TRUE,Meowth,SV: Scarlet & Violet 151,#052/165,Common,Normal,,,,$0.18
2,FALSE,Meowth,SV: Scarlet & Violet 152,#052/165,Common,Reverse Holo,,,,
3,TRUE,Meowth,ME02: Phantasmal Flames,#106/094,Illustration Rare,,,,,$17.53
4,FALSE,Meowth,Team Rocket,#62/82,Common,1st Edition,,,,$2.56
5,TRUE,Meowth,Team Rocket,#62/82,Common,Unlimited,,,,
6,FALSE,Meowth,XY - Fates Collide,#74/124,Common,Normal,,,,$0.18
7,TRUE,Meowth,XY - Fates Collide,#74/124,Common,Reverse Holo,,,,
8,FALSE,Meowth,XY - Steam Siege,#88/114,Common,Normal,,,,$0.23
9,FALSE,Meowth,XY - Steam Siege,#88/114,Common,Reverse Holo,,,,
10,FALSE,Meowth,XY - Ancient Origins,#61/98,Common,Normal,,,,$0.26
11,FALSE,Meowth,XY - Ancient Origins,#61/98,Common,Reverse Holo,,,,
12,FALSE,Meowth,WoTC Promo,#10/53,Promo,,,,,$53.70
13,FALSE,Meowth,FireRed & LeafGreen,#69/112,Common,Normal,,,,$1.34
14,FALSE,Meowth,FireRed & LeafGreen,#69/112,Common,Reverse Holo,,,,
15,TRUE,Meowth,Jungle,#56/64,Common,1st Edition,,,PSA 8,$5.63
16,FALSE,Meowth,Jungle,#56/64,Common,Unlimited,,,,
17,FALSE,Meowth,SWSH08: Fusion Strike,#199/264,Common,Normal,,,,$0.12
18,FALSE,Meowth,SWSH08: Fusion Strike,#199/264,Common,Reverse Holo,,,,
19,FALSE,Meowth,SM - Burning Shadows,#101/147,Common,Normal,,,,$0.18
